127,LS3D,,2025-03-15 18:32:09
411,Game Maker Studio,"GameMaker makes game design easy, regardless of your background or skill level. All you need is an idea!",2025-04-08 10:40:25
546,AGS,,2024-07-16 01:51:50
488,PC,,2025-01-24 07:27:21
229,Moai,,2025-02-13 19:48:27
288,Dagon Engine,,2019-04-10 20:46:33
1469,Narrat,Narrat is a game engine for making interactive narrative RPGs.,2025-04-01 18:39:23
34,GlassBox,,2016-07-11 17:13:43
1592,libsm64,,2024-11-13 20:14:57
1357,Cryogen,,2021-10-13 14:15:34
1212,plays,,2021-03-20 09:30:17
1310,Raven,,2021-08-13 15:09:07
1403,NeoAxis,,2022-04-07 14:01:01
1479,G-Engine,,2023-02-28 13:20:43
977,CP System III (CPS-3),,2020-06-01 07:44:50
592,SRPG Studio,,2025-03-17 00:22:25
1009,KRASS Engine,,2020-06-26 09:31:23
346,Road Hog Engine,,2022-03-03 21:11:47
817,NeoX engine [ by NetEase Games ],NeoX is the NetEase Games’ proprietary graphics engine,2025-04-01 15:29:36
1293,Glacier Engine,,2025-03-07 19:17:22
1235,NESiCAxLive,,2024-01-29 02:36:35
498,DS2,,2017-08-16 14:28:22
1224,Windows,,2025-03-08 20:13:23
20,Doom engine,,2024-09-19 19:04:03
1250,Airem engine,,2021-05-24 14:41:53
673,Serious Engine 4.0,,2019-04-10 06:40:57
1037,Bemani PC Type 5,,2020-07-01 07:32:03
1137,Go,,2024-06-14 00:34:56
1278,MS30,,2021-09-09 19:45:05
1159,ShiVa3d,,2022-06-07 16:31:44
1282,Croc 2,,2021-07-14 12:53:40
283,Ice-Peak Engine,,2015-10-07 17:25:59
767,Frostbite 2,"A game engine developed by EA Digital Illusion CE (mostly known as DICE), it was used to create Battlefield, Need for Speed, and some other games. This version was outdated in March 2013, due to Frostbite's new version, now called ""Frostbite™ 3"".",2025-02-17 21:36:53
1186,Rockstar Advanced Game Engine,,2024-09-11 08:25:28
617,Yuna Engine,,2019-01-03 07:20:22
370,Spritekit,,2022-02-09 09:38:24
1121,BabylonJS,,2024-12-09 20:36:34
33,Forgelight Engine,,2017-10-26 18:08:16
167,Cube Engine,,2022-01-03 10:58:40
1220,menduz engine,,2021-04-06 09:00:00
406,Kapow Systems 3D,,2016-11-15 04:18:00
408,Un,,2018-05-31 08:12:34
424,Homemade,,2017-07-23 16:41:10
17,Havok Physics,,2025-03-05 02:39:18
1138,System-NNN,,2023-11-23 01:06:48
1106,Ego Engine,,2025-04-02 03:50:19
